date,PRUID,CDUID,SACTYPE,is_rural,conn_type,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms,tests,DA_POP,imputed
2019-01-01,10,1001,1,False,fixed,110.34515563614384,72.58966485343004,10.505590812934422,6618,550285.0,False
2019-01-01,10,1001,1,False,mobile,92.79577692307691,28.8362,65.1076923076923,130,43085.0,False
2019-01-01,10,1001,1,True,fixed,133.45302027748133,93.33228815368196,7.532550693703309,937,180645.0,False
2019-01-01,10,1001,1,True,mobile,105.861625,44.6315,67.6875,16,6075.0,False
2019-01-01,10,1001,3,False,fixed,107.054376,44.847764,11.644,250,17930.0,False
2019-01-01,10,1001,3,False,mobile,116.633,12.219,83.5,2,1540.0,False
2019-01-01,10,1001,3,True,fixed,117.38971428571428,61.87714285714285,9.238095238095235,21,6915.0,False
2019-01-01,10,1001,3,True,mobile,86.814,5.083,58.0,2,615.0,False
2019-01-01,10,1001,4,False,fixed,6.694,0.9313333333333332,11.333333333333334,3,960.0,False
2019-01-01,10,1001,4,True,fixed,78.22745303867403,19.74114917127072,48.430939226519335,181,36570.0,False
2019-01-01,10,1001,4,True,mobile,108.78328571428573,52.32328571428571,59.57142857142857,7,1200.0,False
2019-01-01,10,1001,5,False,fixed,90.36044025157234,51.6174465408805,23.61635220125786,159,13020.0,False
2019-01-01,10,1001,5,False,mobile,56.18242857142856,19.532,58.142857142857146,7,1730.0,False
2019-01-01,10,1001,5,True,fixed,64.88240102827763,12.460568123393312,21.83804627249357,389,59675.0,False
2019-01-01,10,1001,5,True,mobile,29.124,8.238199999999999,60.2,5,1815.0,False
2019-01-01,10,1001,6,True,fixed,51.71697222222222,8.53511111111111,23.05555555555556,36,3995.0,False
2019-01-01,10,1001,7,True,fixed,18.29563829787234,1.6776808510638297,140.59574468085106,47,3705.0,False
2019-01-01,10,1001,7,True,mobile,9.367333333333333,7.610333333333334,107.0,3,500.0,False
2019-01-01,10,1002,4,True,fixed,118.39057142857143,9.519285714285717,17.285714285714285,7,1700.0,False
2019-01-01,10,1002,5,False,fixed,68.78918681318683,9.436542124542123,32.94505494505494,273,18235.0,False
2019-01-01,10,1002,5,False,mobile,100.98757142857144,12.348571428571429,54.142857142857146,7,1580.0,False
2019-01-01,10,1002,5,True,fixed,100.50235880398672,8.410863787375417,44.21926910299003,301,26845.0,False
2019-01-01,10,1002,5,True,mobile,12.475499999999998,2.287166666666667,66.83333333333333,6,2495.0,False
