,date,PRNAME,CDUID,conn_type,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms,tests,DA_POP
0,2019-01-01,Alberta,4801,fixed,51.5261238170347,8.122862776025237,41.87776025236593,1268,246025.0
1,2019-01-01,Alberta,4801,mobile,28.724486486486484,7.500324324324324,41.990990990990994,111,17665.0
2,2019-01-01,Alberta,4802,fixed,73.37254310703874,23.685970012494792,31.992919616826324,2401,550175.0
3,2019-01-01,Alberta,4802,mobile,48.64033802816902,10.22756338028169,34.23943661971831,71,46090.0
4,2019-01-01,Alberta,4803,fixed,35.298657475490195,14.609982843137255,42.27818627450981,1632,226350.0
5,2019-01-01,Alberta,4803,mobile,48.202108108108106,10.816486486486486,48.37837837837838,37,15740.0
6,2019-01-01,Alberta,4804,fixed,14.52143537414966,7.269709750566895,67.15646258503402,441,47125.0
7,2019-01-01,Alberta,4804,mobile,30.568285714285715,9.304142857142859,35.42857142857143,7,3330.0
8,2019-01-01,Alberta,4805,fixed,23.671064674580435,7.056739255014327,41.20261972984036,2443,269255.0
9,2019-01-01,Alberta,4805,mobile,54.72986086956522,11.457173913043476,62.17391304347826,115,31420.0
10,2019-01-01,Alberta,4806,fixed,60.02011542568683,14.665158819532085,63.13183186098437,10301,2616730.0
11,2019-01-01,Alberta,4806,mobile,72.51705637254902,19.448522058823528,41.22303921568628,408,461535.0
12,2019-01-01,Alberta,4807,fixed,12.459204772902234,3.9172009237875285,66.09853733641262,1299,165120.0
13,2019-01-01,Alberta,4807,mobile,25.708000000000002,4.757902439024391,67.3170731707317,41,11295.0
14,2019-01-01,Alberta,4808,fixed,28.294580521317435,7.8381202263083445,51.040412204485754,4949,619050.0
15,2019-01-01,Alberta,4808,mobile,48.592518749999996,11.27985,47.6,160,55005.0
16,2019-01-01,Alberta,4809,fixed,14.978664,6.312524444444445,84.23911111111111,1125,164780.0
17,2019-01-01,Alberta,4809,mobile,30.970395604395605,6.703835164835165,47.73626373626374,91,24945.0
18,2019-01-01,Alberta,4810,fixed,39.3452969837587,6.946226991492653,64.14230471771074,2586,364290.0
19,2019-01-01,Alberta,4810,mobile,83.45867948717948,14.211410256410257,48.48717948717949,78,34390.0
20,2019-01-01,Alberta,4811,fixed,44.643492464415296,11.685676179179461,63.97055540050237,14332,3134385.0
21,2019-01-01,Alberta,4811,mobile,73.37463636363637,13.999439393939394,42.27651515151515,528,297910.0
22,2019-01-01,Alberta,4812,fixed,16.262219283746557,6.335434710743802,79.40055096418733,1815,323150.0
23,2019-01-01,Alberta,4812,mobile,49.993862745098035,8.61256862745098,70.76470588235294,51,16270.0
24,2019-01-01,Alberta,4813,fixed,13.956947450369794,5.71399961074348,73.7033865317244,2569,404570.0
25,2019-01-01,Alberta,4813,mobile,56.917901098901105,9.420417582417583,51.61538461538461,91,32670.0
26,2019-01-01,Alberta,4814,fixed,16.71868996188056,6.651491740787802,113.5146124523507,787,133505.0
27,2019-01-01,Alberta,4814,mobile,58.691306451612896,17.76912903225806,41.38709677419355,62,22460.0
28,2019-01-01,Alberta,4815,fixed,50.90894814295726,8.773258584442885,119.05816398037841,1427,109490.0
29,2019-01-01,Alberta,4815,mobile,74.09727906976744,15.506860465116278,41.93023255813954,43,6105.0
30,2019-01-01,Alberta,4816,fixed,53.29585,21.091255882352943,18.949264705882353,1360,124115.0
31,2019-01-01,Alberta,4816,mobile,44.59588687782805,8.755212669683257,51.01809954751131,221,42340.0
32,2019-01-01,Alberta,4817,fixed,10.58031922398589,5.539532039976485,70.65138154027044,1701,281570.0
33,2019-01-01,Alberta,4817,mobile,71.60174545454545,10.882890909090909,48.81818181818182,55,19025.0
34,2019-01-01,Alberta,4818,fixed,14.359480818414324,8.251567774936062,184.41943734015345,782,183710.0
35,2019-01-01,Alberta,4818,mobile,25.86908645533142,6.112599423631124,47.763688760806915,347,71325.0
36,2019-01-01,Alberta,4819,fixed,25.12513483523874,13.780629791526566,53.871553463349024,2974,517895.0
37,2019-01-01,Alberta,4819,mobile,32.27537668161435,8.079251121076233,47.65919282511211,223,73915.0
38,2019-01-01,British Columbia / Colombie-Britannique,5901,fixed,57.057625843780144,11.123989874638381,50.69527483124397,2074,243890.0
39,2019-01-01,British Columbia / Colombie-Britannique,5901,mobile,40.04920930232558,6.843302325581397,61.883720930232556,43,20965.0
40,2019-01-01,British Columbia / Colombie-Britannique,5903,fixed,56.00574528301887,10.056271102284011,112.29195630585899,2014,222840.0
41,2019-01-01,British Columbia / Colombie-Britannique,5903,mobile,58.782878787878786,7.543575757575758,64.51515151515152,33,12620.0
42,2019-01-01,British Columbia / Colombie-Britannique,5905,fixed,50.19386569343065,16.3602700729927,38.84087591240876,685,78735.0
43,2019-01-01,British Columbia / Colombie-Britannique,5905,mobile,44.93466666666666,5.668212121212122,73.60606060606061,33,10995.0
44,2019-01-01,British Columbia / Colombie-Britannique,5907,fixed,75.61840222897669,25.221744680851064,55.742654508611956,987,146630.0
45,2019-01-01,British Columbia / Colombie-Britannique,5907,mobile,70.33546296296296,10.979222222222223,34.351851851851855,54,14395.0
46,2019-01-01,British Columbia / Colombie-Britannique,5909,fixed,76.94700631711939,19.302331332912193,40.67877447883765,3166,415160.0
47,2019-01-01,British Columbia / Colombie-Britannique,5909,mobile,45.1161512605042,10.256806722689076,41.91596638655462,119,41090.0
48,2019-01-01,British Columbia / Colombie-Britannique,5915,fixed,89.02579443641618,17.291640173410407,17.26174132947977,5536,750780.0
49,2019-01-01,British Columbia / Colombie-Britannique,5915,mobile,69.04280566801619,18.58538866396761,45.688259109311744,247,115875.0
